"image href","image src","job_link","job_link href","company-name","salary","location","time","time 2","time 3","time 4","welfare","welfare 2","welfare 3","apply-button href"
"https://careerviet.vn/vi/nha-tuyen-dung/nova-service-group-cong-ty-co-phan-tap-doan-nova-services.35AA0C05.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot5%2F336645%2FCapture.JPG&w=256&q=75","Head of Database Administration and Operations","https://careerviet.vn/vi/tim-viec-lam/head-of-database-administration-and-operations.35C699BD.html","Nova Service Group - Công ty Cổ phần Tập đoàn Nova Services","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","27-05-2026","Cập nhật:","28-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C699BD"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tai-chinh-tnhh-mot-thanh-vien-quoc-te-viet-nam-jaccs.35A60332.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployers%2F72242%2F144407jaccs-brandlogo-color.jpg&w=256&q=75","Chuyên Viên Chuyển Đổi Số","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-chuyen-doi-so.35C69984.html","Công Ty Tài Chính TNHH Một Thành Viên Quốc Tế Việt Nam JACCS","Lương: 11 Tr - 17 Tr VND","Hồ Chí Minh","Hạn nộp:","27-05-2026","Cập nhật:","28-04-2026","Chế độ bảo hiểm","Du Lịch","Chế độ thưởng","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C69984"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-phat-trien-cong-nghe-techpro.35A9CDBA.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot8%2F320698%2F172639logo.png&w=256&q=75","Nhân viên kinh doanh phần mềm","https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-phan-mem.35C69A31.html","CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ TECHPRO","Lương: 15 Tr - 30 Tr VND","Hà Nội","Hạn nộp:","27-05-2026","Cập nhật:","28-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C69A31"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-phat-trien-cong-nghe-techpro.35A9CDBA.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot8%2F320698%2F172639logo.png&w=256&q=75","Nhân viên Kinh doanh Ngành In","https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-nganh-in.35C69A03.html","CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ TECHPRO","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","27-05-2026","Cập nhật:","28-04-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C69A03"
"https://careerviet.vn/vi/nha-tuyen-dung/techtronic-industries-vietnam-manufacturing-company-limited.35A828EC.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot2%2F212972%2F153846techtronic_industries_logo.png&w=256&q=75","Product Life Cycle Management (PLM) Engineer","https://careerviet.vn/vi/tim-viec-lam/product-life-cycle-management-plm-engineer.35C70941.html","Techtronic Industries Vietnam Manufacturing Company Limited","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","31-07-2026","Cập nhật:","28-04-2026","Laptop","Chế độ bảo hiểm","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C70941"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tai-chinh-tnhh-mot-thanh-vien-quoc-te-viet-nam-jaccs.35A60332.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployers%2F72242%2F144407jaccs-brandlogo-color.jpg&w=256&q=75","Trưởng Nhóm Vận Hành Ứng Dụng Web/ Mobile App","https://careerviet.vn/vi/tim-viec-lam/truong-nhom-van-hanh-ung-dung-web-mobile-app.35C707F8.html","Công Ty Tài Chính TNHH Một Thành Viên Quốc Tế Việt Nam JACCS","Lương: Cạnh tranh","Hồ Chí Minh","Cơ hội ứng tuyển chỉ còn:","4","Cập nhật:","28-04-2026","Chế độ bảo hiểm","Du Lịch","Chế độ thưởng","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C707F8"
"https://careerviet.vn/vi/nha-tuyen-dung/laidon-consulting-vietnam.35A94F21.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot9%2F288289%2F181643logolaidonfullcolor_transparentbackground.png&w=256&q=75","Project Manager","https://careerviet.vn/vi/tim-viec-lam/project-manager.35C707C0.html","Laidon Consulting Vietnam","Lương: Cạnh tranh","Hồ Chí Minh","Cơ hội ứng tuyển chỉ còn:","4","Cập nhật:","28-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C707C0"
"https://careerviet.vn/vi/nha-tuyen-dung/coca-cola-beverages-vietnam.35A4FE5F.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployers%2F5471%2F101418vietnamsocial-media-profile.png&w=256&q=75","Senior Business Analyst","https://careerviet.vn/vi/tim-viec-lam/senior-business-analyst.35C71B80.html","Coca-Cola Beverages Vietnam","Lương: Cạnh tranh","Hồ Chí Minh","Cập nhật:","28-04-2026","","","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C71B80"
"https://careerviet.vn/vi/nha-tuyen-dung/lacviet-computing-corporation.35A4F752.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployers%2F3666%2F162953logo_lacviet_2018-01.png&w=256&q=75","Nhân Viên Triển Khai Phần Mềm Nhân sự","https://careerviet.vn/vi/tim-viec-lam/nhan-vien-trien-khai-phan-mem-nhan-su.35C71B5A.html","LacViet Computing Corporation","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","30-05-2026","Cập nhật:","28-04-2026","","","","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C71B5A"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-dau-tu-rovi-holdings.35A8E407.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot1%2F260871%2F95112rovi-avatar.jpg&w=256&q=75","Senior Business Development (Chuyên viên Phát triển kinh doanh)","https://careerviet.vn/vi/tim-viec-lam/senior-business-development-chuyen-vien-phat-trien-kinh-doanh.35C71AD6.html","Công ty Cổ phần Đầu Tư Rovi Holdings","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","14-05-2026","Cập nhật:","28-04-2026","Chế độ bảo hiểm","Du Lịch","Chế độ thưởng","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C71AD6"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-cong-nghiep-minda-viet-nam.35AA0689.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot1%2F335241%2F115544logo.jpg&w=256&q=75","ATS Software Development Engineer","https://careerviet.vn/vi/tim-viec-lam/ats-software-development-engineer.35C71A9A.html","CÔNG TY TNHH CÔNG NGHIỆP MINDA VIỆT NAM","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","28-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C71A9A"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-cp-dau-tu-tm-va-phat-trien-cong-nghe-fsi.35A7E894.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot0%2F196500%2F150852logofsi_-01.png&w=256&q=75","Nhân Viên Triển Khai Dự Án Số Hóa","https://careerviet.vn/vi/tim-viec-lam/nhan-vien-trien-khai-du-an-so-hoa.35C71846.html","Công ty CP Đầu Tư TM và Phát Triển Công Nghệ FSI","Lương: 8 Tr - 15 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","28-04-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C71846"
"https://careerviet.vn/vi/nha-tuyen-dung/ngan-hang-thuong-mai-co-phan-nam-a-nam-a-bank.35A9D406.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot0%2F322310%2F152253logonab.png&w=256&q=75","Chuyên viên Phát triển ứng dụng - Khối Công nghệ thông tin","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phat-trien-ung-dung-khoi-cong-nghe-thong-tin.35C729E0.html","Ngân Hàng Thương Mại Cổ Phần Nam Á (Nam A Bank)","Lương: 14 Tr - 20 Tr VND","Hồ Chí Minh","Hạn nộp:","01-06-2026","Cập nhật:","28-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C729E0"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-binh-viet-duc-bivid.35A8D45E.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot2%2F256862%2F121241logo-bivid_chuan.png&w=256&q=75","Nhân Viên Audit","https://careerviet.vn/vi/tim-viec-lam/nhan-vien-audit.35C72B06.html","Công ty TNHH Bình Việt Đức (BIVID)","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","21-05-2026","Cập nhật:","28-04-2026","Laptop","Chế độ bảo hiểm","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C72B06"
"https://careerviet.vn/vi/nha-tuyen-dung/kdi-education.35A89D70.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot0%2F242800%2F85034kdinew-01.png&w=256&q=75","Chuyên viên Phân tích Nghiệp vụ (Business Analyst)","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-nghiep-vu-business-analyst.35C728BE.html","KDI EDUCATION","Lương: 16 Tr - 18 Tr VND","Hồ Chí Minh","Cơ hội ứng tuyển chỉ còn:","4","Cập nhật:","28-04-2026","Chế độ bảo hiểm","Du Lịch","Chế độ thưởng","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C728BE"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-peroma-viet-nam.35A7F023.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot5%2F198435%2F132621logoperoma.jpg&w=256&q=75","CHUYÊN VIÊN BI","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-bi.35C72881.html","Công Ty TNHH PEROMA Việt Nam","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","20-05-2026","Cập nhật:","28-04-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C72881"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-dau-tu-dia-oc-no-va.35A9CCE9.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot9%2F320489%2F115346logo-nvl.jpg&w=256&q=75","Chuyên Viên Cao cấp Giám Sát Bảo Mật CNTT","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-giam-sat-bao-mat-cntt.35C735B4.html","Công Ty Cổ Phần Tập Đoàn Đầu Tư Địa Ốc No Va","Lương: Trên 28 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","27-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C735B4"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-tap-doan-dau-tu-dia-oc-no-va.35A9CCE9.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot9%2F320489%2F115346logo-nvl.jpg&w=256&q=75","Chuyên viên cao cấp Quản trị Hạ tầng Máy chủ","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-tri-ha-tang-may-chu.35C735B2.html","Công Ty Cổ Phần Tập Đoàn Đầu Tư Địa Ốc No Va","Lương: Trên 28 Tr VND","Hồ Chí Minh","Hạn nộp:","31-05-2026","Cập nhật:","27-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C735B2"
