"tablescraper-selected-row href","object-contain src","text-[16px]","text-[14px]","text-[14px] 2","text-se-neutral-80","tooltip-content","text-14","rounded-[8px] 2"
"https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-phan-mem-sales-executive-ho-chi-minh-ha-noi-c13p122id200802292.html?open_from=0201_13_2&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2022/09/09/images/166271133016.w-128.h-128.png?v=220513","Nhân Viên Kinh Doanh Phần Mềm (Sales Executive) Hồ Chí Minh + Hà Nội","Công Ty Cổ Phần Giải Pháp Chuỗi Cung Ứng Smartlog","8 - 20 triệu","TP.HCM, Hà Nội","TP.HCM, Hà Nội","Còn 6 ngày","Ngày hết hạn nộp hồ sơ 09/05/2026"
"https://vieclam24h.vn/marketing/fpt-telecom-hue-nhan-vien-digital-marketing-c12p103id200802141.html?open_from=0201_13_3&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","[Fpt Telecom Huế] Nhân Viên Digital Marketing","Công Ty Cổ Phần Viễn Thông Fpt","9 - 15 triệu","Thừa Thiên Huế","Thừa Thiên Huế","Còn 11 ngày","Ngày hết hạn nộp hồ sơ 14/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/quang-ngai-ky-thuat-ha-tang-vien-thong-c7p106id200802100.html?open_from=0201_13_4&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Quảng Ngãi_Kỹ Thuật Hạ Tầng Viễn Thông","Công Ty Cổ Phần Viễn Thông Fpt","8 - 15 triệu","Quảng Ngãi","Quảng Ngãi","Còn 11 ngày","Ngày hết hạn nộp hồ sơ 14/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/quang-ngai-nhan-vien-ky-thuat-trien-khai-va-bao-tri-c7p106id200802058.html?open_from=0201_13_5&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Quảng Ngãi_Nhân Viên Kỹ Thuật Triển Khai Và Bảo Trì","Công Ty Cổ Phần Viễn Thông Fpt","10 - 15 triệu","Quảng Ngãi","Quảng Ngãi","Còn 11 ngày","Ngày hết hạn nộp hồ sơ 14/05/2026"
"https://vieclam24h.vn/quan-ly-tieu-chuan-va-chat-luong/quang-ngai-nhan-vien-quan-ly-chat-luong-qa-c28p106id200802026.html?open_from=0201_13_6&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Quảng Ngãi_Nhân Viên Quản Lý Chất Lượng (QA)","Công Ty Cổ Phần Viễn Thông Fpt","8 - 15 triệu","Quảng Ngãi","Quảng Ngãi","Còn 11 ngày","Ngày hết hạn nộp hồ sơ 14/05/2026"
"https://vieclam24h.vn/it-phan-mem/chuyen-vien-tu-van-giai-phap-senior-sales-executive-c8p73id200800074.html?open_from=0201_13_7&search_id=8934079a3f634e9eeb36b3c501feb62a","","Chuyên Viên Tư Vấn Giải Pháp (Senior Sales Executive)","Công Ty TNHH 1C Việt Nam","20 - 30 triệu","Hà Nội","Hà Nội","Còn 7 ngày","Ngày hết hạn nộp hồ sơ 10/05/2026"
"https://vieclam24h.vn/van-hanh-bao-tri-bao-duong/nhan-vien-ky-thuat-bao-tri-c10p116id200801416.html?open_from=0201_13_8&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2022/09/29/images/166441567095.w-128.h-128.jpeg?v=220513","Nhân Viên Kỹ Thuật Bảo Trì","Công Ty TNHH B'laofood","9 - 12 triệu","Lâm Đồng","Lâm Đồng","Còn 7 ngày","Ngày hết hạn nộp hồ sơ 10/05/2026"
"https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-phan-mem-c13p73id200801301.html?open_from=0201_13_9&search_id=8934079a3f634e9eeb36b3c501feb62a","","Nhân Viên Kinh Doanh Phần Mềm","CÔNG TY CỔ PHẦN CÔNG NGHỆ HINET VIỆT NAM","12 - 20 triệu","Hà Nội","Hà Nội","Còn 7 ngày","Ngày hết hạn nộp hồ sơ 10/05/2026"
"https://vieclam24h.vn/it-phan-mem/nhan-vien-kinh-doanh-giai-phap-mang-xa-hoi-chung-cu-c8p73id200800896.html?open_from=0201_13_10&search_id=8934079a3f634e9eeb36b3c501feb62a","","Nhân Viên Kinh Doanh Giải Pháp Mạng Xã Hội Chung Cư","CÔNG TY TNHH AKTV AN KHANG THỊNH VƯỢNG","5 - 30 triệu","Hà Nội","Hà Nội","Còn 7 ngày","Ngày hết hạn nộp hồ sơ 10/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/ky-thuat-vien-binh-duong-thu-nhap-len-den-18m-c7p119id200800044.html?open_from=0201_13_11&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Kỹ Thuật Viên Bình Dương Thu Nhập Lên Đến 18M","Công Ty Cổ Phần Viễn Thông Fpt","10 - 18 triệu","Bình Dương","Bình Dương","Còn 5 ngày","Ngày hết hạn nộp hồ sơ 08/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/hoc-mon-ky-thuat-vien-thong-fpt-c7p122id200799988.html?open_from=0201_13_12&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Hóc Môn Kỹ Thuật Viễn Thông Fpt","Công Ty Cổ Phần Viễn Thông Fpt","10 - 15 triệu","TP.HCM","TP.HCM","Còn 11 ngày","Ngày hết hạn nộp hồ sơ 14/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/hoc-mon-vi-nhan-vien-kinh-doanh-fpt-telecom-c7p122id200799983.html?open_from=0201_13_13&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Hóc Môn Vị Nhân Viên Kinh Doanh Fpt Telecom","Công Ty Cổ Phần Viễn Thông Fpt","8 - 15 triệu","TP.HCM","TP.HCM","Còn 11 ngày","Ngày hết hạn nộp hồ sơ 14/05/2026"
"https://vieclam24h.vn/dien-dien-tu-dien-lanh/nhan-vien-ky-thuat-camera-ha-noi-c41p73id200799840.html?open_from=0201_13_14&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/employer_avatar/2024/03/20/logo1_171093020868.w-128.h-128.png?v=220513","Nhân Viên Kỹ Thuật Camera - Hà Nội","Công Ty TNHH Thương Mại Dịch Vụ Và Công Nghệ Anninh365","10 - 20 triệu","Hà Nội","Hà Nội","Còn 2 ngày","Ngày hết hạn nộp hồ sơ 05/05/2026"
"https://vieclam24h.vn/quan-ly-tieu-chuan-va-chat-luong/bdg-nhan-vien-qa-vien-thong-fpt-c28p119id200799671.html?open_from=0201_13_15&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","[Bdg] Nhân Viên QA Viễn Thông FPT","Công Ty Cổ Phần Viễn Thông Fpt","8 - 15 triệu","Bình Dương","Bình Dương","Còn 58 ngày","Ngày hết hạn nộp hồ sơ 30/06/2026"
"https://vieclam24h.vn/it-phan-mem/sales-b2b-phan-mem-quan-ly-ban-hang-pos-saas-c8p122id200744830.html?open_from=0201_13_16&search_id=8934079a3f634e9eeb36b3c501feb62a","","Sales B2B – Phần Mềm Quản Lý Bán Hàng (Pos / Saas)","Công Ty TNHH Đầu Tư Công Nghệ Redsun","7 - 50 triệu","TP.HCM","TP.HCM","Còn 2 ngày","Ngày hết hạn nộp hồ sơ 05/05/2026"
"https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-phan-cung-server-may-tinh-c13p122id200346274.html?open_from=0201_13_17&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2026/04/03/img-1775188423072_177518842383.w-128.h-128.png?v=220513","Nhân Viên Kinh Doanh Phần Cứng Server / Máy Tính","Công Ty Cổ Phần Công Nghệ Máy Chủ Mạng","8 - 15 triệu","TP.HCM, Hà Nội","TP.HCM, Hà Nội","Còn 1 ngày","Ngày hết hạn nộp hồ sơ 04/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/nhan-vien-kinh-doanh-thiet-bi-pos-c7p122id200765416.html?open_from=0201_13_18&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/tvn/images/default/2022/06/09/images/165474823162.w-128.h-128.png?v=220513","Nhân Viên Kinh Doanh Thiết Bị Pos","Công Ty Cổ Phần Thương Mại Dịch Vụ Tín Hòa","9 - 16 triệu","TP.HCM","TP.HCM","Còn 2 ngày","Ngày hết hạn nộp hồ sơ 05/05/2026"
"https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-kinh-doanh-dich-vu-giai-phap-it-c13p122id200798314.html?open_from=0201_13_19&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2023/11/21/1111_170053259670.w-128.h-128.jpg?v=220513","Chuyên Viên Kinh Doanh Dịch Vụ & Giải Pháp IT","Công Ty TNHH Tài Năng","11 - 13 triệu","TP.HCM","TP.HCM","Còn 3 ngày","Ngày hết hạn nộp hồ sơ 06/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/hot-job-chuyen-vien-kinh-doanh-thiet-bi-cntt-15tr-20tr-hoa-hong-thuong-c7p73id200622735.html?open_from=0201_13_20&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/employer_avatar/2021/03/17/images/161594450976.w-128.h-128.jpeg?v=220513","[Hot Job] Chuyên Viên Kinh Doanh Thiết Bị CNTT (15Tr 20Tr+ Hoa Hồng + Thưởng)","Công Ty Cổ Phần Phân Phối Công Nghệ Quang Dũng - Chi Nhánh Miền Bắc","15 - 50 triệu","Hà Nội","Hà Nội","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/nhan-vien-ky-thuat-vien-thong-gia-lai-c7p113id200798044.html?open_from=0201_13_21&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Nhân Viên Kỹ Thuât Viễn Thông (Gia Lai)","Công Ty Cổ Phần Viễn Thông Fpt","10 - 15 triệu","Gia Lai","Gia Lai","Còn 8 ngày","Ngày hết hạn nộp hồ sơ 11/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/nhan-vien-ky-thuat-dak-lak-c7p114id200638845.html?open_from=0201_13_22&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/07/26/img-1721965753129_172196575369.w-128.h-128.png?v=220513","Nhân Viên Kỹ Thuật Đăk Lăk","Công Ty Cổ Phần Viễn Thông Fpt","10 - 15 triệu","Đắk Lắk","Đắk Lắk","Còn 8 ngày","Ngày hết hạn nộp hồ sơ 11/05/2026"
"https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-kinh-doanh-giai-phap-phan-mem-cong-nghiep-c13p122id200791979.html?open_from=0201_13_23&search_id=8934079a3f634e9eeb36b3c501feb62a","","Chuyên Viên Kinh Doanh Giải Pháp Phần Mềm Công Nghiệp","Công Ty TNHH Công Nghệ Số Sde","15 - 20 triệu","TP.HCM","TP.HCM","Còn 4 ngày","Ngày hết hạn nộp hồ sơ 07/05/2026"
"https://vieclam24h.vn/marketing/nhan-vien-sale-marketing-nhan-vien-tu-van-c12p122id200658849.html?open_from=0201_13_24&search_id=8934079a3f634e9eeb36b3c501feb62a","","Nhân Viên Sale Marketing (Nhân Viên Tư Vấn)","Công Ty TNHH Công Nghệ Sota Group","8 - 20 triệu","TP.HCM","TP.HCM","Còn 1 ngày","Ngày hết hạn nộp hồ sơ 03/05/2026"
