"img_job_card href","sc-cHHTbD src","sc-cdaca-d","sc-cpgxJx","sc-cpgxJx href","sc-dauhQT","sc-jNUliw","sc-lccgLh","sc-bXWnss","sc-bXWnss 2","sc-bXWnss 3","sc-bXWnss 4"
"https://www.vietnamworks.com/application-research-and-development-officer-2039068-jv?source=searchResults&searchType=2&placement=2039418&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Application Research & Development Officer","Ngân Hàng TNHH Indovina – Hội Sở","https://www.vietnamworks.com/nha-tuyen-dung/ngan-hang-tnhh-indovina-hoi-so-c152048","Thương lượng","Hồ Chí Minh","Cập nhật: 27/04/2026","API Integration","Core Banking","Java Spring Boot","+3"
"https://www.vietnamworks.com/admin-ecodc-2038997-jv?source=searchResults&searchType=2&placement=2039347&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Admin EcoDC","Công Ty Cổ Phần HTC Viễn Thông Quốc Tế","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-htc-vien-thong-quoc-te-c153851","10tr-12tr ₫/tháng","Hà Nội, Hồ Chí Minh","Cập nhật: 27/04/2026","Admin","Quản Lý Tài Liệu Giấy Tờ","Tiếng Anh","+2"
"https://www.vietnamworks.com/giam-djoc-trung-tam-kinh-doanh-2017911-jv?source=searchResults&searchType=2&placement=2018261&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Giám Đốc Trung Tâm Kinh Doanh","Công Ty Cổ Phần HTC Viễn Thông Quốc Tế","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-htc-vien-thong-quoc-te-c153851","Thương lượng","Hà Nội, Hồ Chí Minh","Cập nhật: 27/04/2026","Quản Lý Kinh Doanh","Bán Hàng B2B","Quản Lý KPI","+2"
"https://www.vietnamworks.com/hardware-design-leadmanager-2042334-jv?source=searchResults&searchType=2&placement=2042684&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Hardware Design Lead/Manager","Vingroup","https://www.vietnamworks.com/nha-tuyen-dung/vingroup-c17027","Thương lượng","Hà Nội","Cập nhật: 26/04/2026","Analytical Skills","Automotive Standards","","+3"
"https://www.vietnamworks.com/it-infrastructure-engineer-2034748-jv?source=searchResults&searchType=2&placement=2035098&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Faf%2F11226160.png&w=3840&q=75","IT Infrastructure Engineer","BIDV MetLife","https://www.vietnamworks.com/nha-tuyen-dung/bidv-metlife-c191648","Thương lượng","Hà Nội","Cập nhật: 25/04/2026","System","IT Infrastructure","Network","+5"
"https://www.vietnamworks.com/it-auditor-iso-27001--2034559-jv?source=searchResults&searchType=2&placement=2034909&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","IT Auditor ISO 27001","SPS Vietnam Company Ltd.","https://www.vietnamworks.com/nha-tuyen-dung/sps-vietnam-company-ltd--c1803","Thương lượng","Hồ Chí Minh","Cập nhật: 25/04/2026","Information security","ISO 27001","ISO Standards","+2"
"https://www.vietnamworks.com/manager-orgrc-technology-or-hanoi-office-2034689-jv?source=searchResults&searchType=2&placement=2035039&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Manager |GRC Technology | Hanoi Office","Ernst & Young Vietnam Limited (EY Vietnam)","https://www.vietnamworks.com/nha-tuyen-dung/ernst-young-vietnam-limited-ey-vietnam--c111997","Thương lượng","Hà Nội","Cập nhật: 25/04/2026","Compliance Management","GRC","IT Risk Management","+1"
"https://www.vietnamworks.com/grc-specialist-greennode-2035193-jv?source=searchResults&searchType=2&placement=2035543&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","GRC Specialist, Greennode","VNG Corporation","https://www.vietnamworks.com/nha-tuyen-dung/vng-corporation-c208","Thương lượng","Hồ Chí Minh","Cập nhật: 25/04/2026","Compliance Management","Legal Analysis","+4",""
"https://www.vietnamworks.com/wireless-engineer-high-volume-hiring-upto-80m--2024473-jv?source=searchResults&searchType=2&placement=2024823&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Wireless Engineer (High-Volume Hiring) - Upto 80M","Công Ty TNHH Công Nghệ Huawei Việt Nam","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-tnhh-cong-nghe-huawei-viet-nam-c955","Tới 80tr ₫/tháng","Hà Nội","Cập nhật: 25/04/2026","Wireless solutions","English","+1","Site Construction"
"https://www.vietnamworks.com/middlesenior-backend-engineer-python-2041637-jv?source=searchResults&searchType=2&placement=2041987&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Middle/Senior Backend Engineer (Python)","Công Ty Cổ Phần Thương Mại Dược Phẩm Đại Phúc Quang Minh","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-thuong-mai-duoc-pham-dai-phuc-quang-minh-c415314","Thương lượng","Hồ Chí Minh","Cập nhật: 25/04/2026","Python","Forecast Analysis","Data Analysis","+2"
"https://www.vietnamworks.com/sap-fico-consultant-8-month-contract-2017662-jv?source=searchResults&searchType=2&placement=2018012&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","SAP FICO Consultant (8-month contract)","Panasonic Vietnam Co.,ltd","https://www.vietnamworks.com/nha-tuyen-dung/panasonic-vietnam-co-ltd-c314222","Thương lượng","Hà Nội","Cập nhật: 25/04/2026","SAP FICO","Ecc 6.0","ABAP","+2"
"https://www.vietnamworks.com/foxconn-fii-tuyen-gap-ky-su-tri-tue-nhan-tao-ai--2034589-jv?source=searchResults&searchType=2&placement=2034939&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Foxconn Fii Tuyển Gấp Kỹ Sư Trí Tuệ Nhân Tạo AI","Công Ty TNHH Công Nghệ Chính Xác Fuyu","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-tnhh-cong-nghe-chinh-xac-fuyu-c119008","$ 700-1,300 /tháng","Bắc Giang, Bắc Ninh","Cập nhật: 25/04/2026","AI Vision","Machine Learning","Deep Learning","+2"
"https://www.vietnamworks.com/foxconn-tuyen-gap-ky-su-rf-radio-frequency-engineer--2034579-jv?source=searchResults&searchType=2&placement=2034929&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Foxconn Tuyển Gấp Kỹ Sư RF Radio Frequency Engineer","Tập Đoàn Khoa Học Kỹ Thuật Hồng Hải - Foxconn","https://www.vietnamworks.com/nha-tuyen-dung/tap-doan-khoa-hoc-ky-thuat-hong-hai-foxconn-c119008","Tới $ 1,200 /tháng","Bắc Ninh, Bắc Giang","Cập nhật: 25/04/2026","Điện Tử","Điện Tử Viễn Thông","Radio Frequency","+2"
"https://www.vietnamworks.com/ke-toan-quan-tri-management-accountant--2035273-jv?source=searchResults&searchType=2&placement=2035623&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Kế Toán Quản Trị (Management Accountant)","CÔNG TY CỔ PHẦN VINSPACE","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-vinspace-c412425","Thương lượng","Hà Nội","Cập nhật: 25/04/2026","Management Accounting","Financial Management","","+3"
"https://www.vietnamworks.com/general-accountant-2035269-jv?source=searchResults&searchType=2&placement=2035619&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","General Accountant","CÔNG TY CỔ PHẦN VINSPACE","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-vinspace-c412425","Thương lượng","Hà Nội","Cập nhật: 25/04/2026","Accounting","Tax Declaration","Financial Reporting","+2"
"https://www.vietnamworks.com/sales-specialist-chuyen-vien-kinh-doanh-b2b-solutions-software-hardware-2028715-jv?source=searchResults&searchType=2&placement=2029065&sortBy=date&qs=0","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","Sales Specialist Chuyên Viên Kinh Doanh (B2B, Solutions, Software, Hardware)","Eeo Việt Nam (Classin)","https://www.vietnamworks.com/nha-tuyen-dung/eeo-viet-nam-classin--c392472","Thương lượng","Hà Nội, Hồ Chí Minh","Cập nhật: 25/04/2026","B2B","Sales phần mềm","EdTech","+2"
