"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","TypographyStyles__StyledTypography-sc-ro16eu-0","CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-28"
"Customer Service - IT field (TOPIK 5-6 Korean - Open to Fresher)","https://glints.com/vn/opportunities/jobs/customer-service-it-field-topik-5-6-korean-open-to-fresher/f3e9861d-b9d2-4034-b4ff-c7fbc23647b1?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 1-30 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Problem Solving","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/de7b016553ec540101984a53cc634c63.png","iTechWX","https://glints.com/vn/companies/itechwx/d79394e2-1479-47c8-9d2d-5b4b98c1e0f7","Quận Bình Thạnh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-binh-thanh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","6 ngày trước",""
"Biên phiên dịch IT - Tiếng Nhật N2 - Thủ Đức","https://glints.com/vn/opportunities/jobs/bien-phien-dich-it-tieng-nhat-n2-thu-duc/2758b35b-805c-47a9-b0ac-453c91bbfbfe?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 15-18 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","IT Support","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a24738a0100c240aedbe960eefd4c4ed.png","CÔNG TY CP KẾT NỐI NHÂN LỰC WORKLINK VIỆT NAM","https://glints.com/vn/companies/cong-ty-cp-ket-noi-nhan-luc-worklink-viet-nam/1802aeef-2140-4b85-8ba3-924c0fa356dd","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","11 ngày trước",""
"ACCOUNT MANAGER (B2B/IT-TELECOM SOLUTIONS)","https://glints.com/vn/opportunities/jobs/account-manager-b2b-it-telecom-solutions/e1506480-9e66-4599-ae21-69364603c1ca?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","B2B Sales","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/18612f67117955646f4cec60ba94feb4.png","FPT Telecom International","https://glints.com/vn/companies/fpt-telecom-international/20a1ceb0-3c60-4d24-8cce-c9a9091a545a","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","1 tháng trước","Không công khai"
"Bussiness Development (Sale IT EN/KR/JP)","https://glints.com/vn/opportunities/jobs/bussiness-development-sale-it-en-kr-jp/1347e8e2-665e-4ec9-b633-108792db3f6f?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 10-20 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Customer Service","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/1e245ff931e2b20784bc188a5881864b.jpg","Công ty Cổ Phần SotaTek","https://glints.com/vn/companies/cong-ty-co-phan-sotatek/f614e2df-65c2-427d-8499-915f45d639c9","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","5 ngày trước",""
"Thực Tâp Sinh Biên Phiên Dịch Tiếng Nhật Ngành IT","https://glints.com/vn/opportunities/jobs/thuc-tap-sinh-bien-phien-dich-tieng-nhat-nganh-it/b0abef0b-568e-4a35-ba68-5070ada27dbe?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","Tối thiểu Cử Nhân","","","","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/bc34c9b61ae99c0ef4f83343fb351e09.jpg","W2SOLUTION VIỆT NAM","https://glints.com/vn/companies/w2solution-viet-nam/e48569be-6223-4e5d-8a19-2f5eb20db47a","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","12 ngày trước","Không công khai"
"[KCX LINH TRUNG 1] - PHIÊN DỊCH TIẾNG NHẬT PHÒNG IT - 18M GRS","https://glints.com/vn/opportunities/jobs/kcx-linh-trung-1-phien-dich-tieng-nhat-phong-it-18m-grs/e2db16eb-b362-4244-9bdd-8ee129051b7e?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 16-18 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Machine Translation","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/49278a5f55e94cee0751d97c1ddc0729.png","RETKI INTERNATIONAL TRADE DEVELOPMENT COMPANY LIMITED","https://glints.com/vn/companies/retki-international-trade-development-company-limited/3147931d-99ff-4a42-835c-d38d23dab799","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","13 ngày trước",""
"Senior Software Engineer (Python / JavaScript)","https://glints.com/vn/opportunities/jobs/senior-software-engineer-python-javascript/7d9aa1ea-c6cc-4cbf-b925-8957e0367c7d?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 40-55 Tr","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","LLM","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/ef22aa352816dc994c8550c6c8012056.jpg","INNOMIZE","https://glints.com/vn/companies/innomize/1c61f16d-45a6-4239-a3fb-3e44aeecf0f8","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","13 ngày trước",""
"ERP/Python Developer (Junior/ Middle)","https://glints.com/vn/opportunities/jobs/erp-python-developer-junior-middle/b80c5ae5-46c9-4152-9a59-d0f0e21c2897?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Hybrid","Việc làm fulltime","Tối thiểu Cử Nhân","Python","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/7b98c1ed57e35ffff5171ef90ef33a17.png","Novobi","https://glints.com/vn/companies/novobi/7d062943-ae7e-453d-b5e7-49c2e1a18452","Quận Mười","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","17 ngày trước","Không công khai"
"FRESHER IT PROGRAMING - ENG GIAO TIẾP - KCN LONG ĐỨC ĐỒNG NAI","https://glints.com/vn/opportunities/jobs/fresher-it-programing-eng-giao-tiep-kcn-long-duc-dong-nai/670ca0b0-481f-4340-833c-003cc8efbe86?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 11-13 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","English Language","MySQL","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a24738a0100c240aedbe960eefd4c4ed.png","CÔNG TY CP KẾT NỐI NHÂN LỰC WORKLINK VIỆT NAM","https://glints.com/vn/companies/cong-ty-cp-ket-noi-nhan-luc-worklink-viet-nam/1802aeef-2140-4b85-8ba3-924c0fa356dd","Long Thành","https://glints.com/vn/job-location/vietnam/dong-nai/long-thanh","Đồng Nai","https://glints.com/vn/job-location/vietnam/dong-nai","27 ngày trước",""
"Software Engineer (.Net Developer)","https://glints.com/vn/opportunities/jobs/software-engineer-net-developer/16a9a4c0-4e24-46bb-b6c9-4bf1761949d3?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","ASP.NET","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/18612f67117955646f4cec60ba94feb4.png","FPT Telecom International","https://glints.com/vn/companies/fpt-telecom-international/20a1ceb0-3c60-4d24-8cce-c9a9091a545a","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","5 ngày trước","Không công khai"
"Python Developer (Middle Level)","https://glints.com/vn/opportunities/jobs/python-developer-middle-level/cfc796c0-1926-4556-9625-bae76764b6f1?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 18-35 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Teamwork","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/837db3fc864efc5b868699f54794c32f.jpg","Công ty Cổ phần Công nghệ SotaTek","https://glints.com/vn/companies/cong-ty-co-phan-cong-nghe-sotatek/f4918f0f-9207-4139-889b-22754cd2163e","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","12 ngày trước",""
"Master Data Specialist","https://glints.com/vn/opportunities/jobs/master-data-specialist/98b5aff6-bbfa-4df7-80df-a95b9a9d8a67?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Microsoft Excel","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/ff969423712b2d6a50845c8d6815abc7.png","Cj Olivenetworks Vina Co., Ltd","https://glints.com/vn/companies/cj-olivenetworks-vina-co-ltd/0e00b00f-cc81-47d7-a2ad-efc739fe7edd","Quận Một","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-mot","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","23 ngày trước","Không công khai"
"Trợ Giảng Lớp Data & AI (Python, Statistics, BI) Part-time","https://glints.com/vn/opportunities/jobs/tro-giang-lop-data-and-ai-python-statistics-bi-part-time/6b277e5b-d211-48d4-a987-1904506536f4?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm bán thời gian","Tối thiểu Cử Nhân","","","","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/6b8979d6fe7e9b9d47df43175a079b20.jpg","The American University of Science","https://glints.com/vn/companies/the-american-university-of-science/54d44c39-dae2-4299-8b46-d2abc8af8261","Quận Phú Nhuận","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-phu-nhuan","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","1 tháng trước","Không công khai"
"Giám Sát Chuyển Đổi Số (MIS) - Mức Lương Hấp Dẫn","https://glints.com/vn/opportunities/jobs/giam-sat-chuyen-doi-so-mis-muc-luong-hap-dan/9f06e7fc-7c9c-4813-97c3-2dc5bb8b647f?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 20-30 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Statistics","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/8f72903e7b3ad0506d8640bef205234d.jpg","CÔNG TY CỔ PHẦN DC CÔNG NGHỆ MỚI","https://glints.com/vn/companies/cong-ty-co-phan-dc-cong-nghe-moi/b7db5c4d-bf5c-4559-ac41-da8d66648432","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","16 ngày trước",""
"Digital Transformation Specialist","https://glints.com/vn/opportunities/jobs/digital-transformation-specialist/84c2cd32-ff60-40eb-9e22-afb26a9687a5?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Statistics","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/f622c3845b20604b6d57537d544beb02.jpg","CÔNG TY TNHH IMCD VIỆT NAM","https://glints.com/vn/companies/cong-ty-tnhh-imcd-viet-nam/ccd2346a-1375-4ac7-8c42-6a5a4964a7d9","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","18 ngày trước","Không công khai"
"MANAGEMENT INFORMATION SYSTEM SUPERVISOR (MIS)","https://glints.com/vn/opportunities/jobs/management-information-system-supervisor-mis/4f46fae3-1b3a-4080-aec0-81a176d25ea7?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 20-30 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","Requirements Analysis","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/76d64192f8bad145812ca38864ca1dcf.png","CÔNG TY CỔ PHẦN PMAC","https://glints.com/vn/companies/cong-ty-co-phan-pmac/9bd4d171-95f1-4b8a-94fe-36660a9945d5","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","3 ngày trước",""
"Technical Support ( Nightshift - English)","https://glints.com/vn/opportunities/jobs/technical-support-nightshift-english/2b4e2beb-e839-469e-a9b6-c2d6cf50be1f?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 16-20 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","Ticketing System","Troubleshooting","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/de7b016553ec540101984a53cc634c63.png","iTechWX","https://glints.com/vn/companies/itechwx/d79394e2-1479-47c8-9d2d-5b4b98c1e0f7","Quận Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","14 ngày trước",""
"Technical Lead (Python / JavaScript)","https://glints.com/vn/opportunities/jobs/technical-lead-python-javascript/63576fac-bcd3-4e76-8d5a-06511b0a4297?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 45-75 Tr","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","TypeScript","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/ef22aa352816dc994c8550c6c8012056.jpg","INNOMIZE","https://glints.com/vn/companies/innomize/1c61f16d-45a6-4239-a3fb-3e44aeecf0f8","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","13 ngày trước",""
"Technical Support Engineer (open for freshers)","https://glints.com/vn/opportunities/jobs/technical-support-engineer-open-for-freshers/9efcdd39-0eba-4115-a822-40674387817f?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 16-20 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","IT Support","Troubleshooting","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/de7b016553ec540101984a53cc634c63.png","iTechWX","https://glints.com/vn/companies/itechwx/d79394e2-1479-47c8-9d2d-5b4b98c1e0f7","Quận Bình Thạnh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-binh-thanh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","14 ngày trước",""
"Software Tester","https://glints.com/vn/opportunities/jobs/software-tester/140f8dbd-3a52-4084-a4ca-634b0317dca2?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","QA Automation","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/79d0b8eff97a01a8c6016707f63ba4bc.jpg","Công ty Cổ phần Innotech Việt Nam","https://glints.com/vn/companies/cong-ty-co-phan-innotech-viet-nam/e3383bb7-7242-4a62-a553-4a74991daf55","Quận Bốn","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bon","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","4 ngày trước","Không công khai"
"QC AUTOMATION (Bangkok based)","https://glints.com/vn/opportunities/jobs/qc-automation-bangkok-based/e43d177c-8376-4c24-bdc2-42f5614b4bef?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 30-50 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","ERP Software","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","2 ngày trước",""
"Database Developer","https://glints.com/vn/opportunities/jobs/database-developer/9743debf-ca20-4539-a644-ab4290a01273?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Database Developer","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/5f4473dd77fc2572f97887baa4700fbf.jpg","Unit Technology Corporation","https://glints.com/vn/companies/unit-technology-corporation/4642cf46-b877-43c5-baf7-539d7e640156","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","1 tháng trước","Không công khai"
"Data Engineer and Integrations Lead ( Azure, SQL, PowerBI )","https://glints.com/vn/opportunities/jobs/data-engineer-and-integrations-lead-azure-sql-powerbi/91e85d5d-491d-4c29-90d5-11727e78f0b2?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","Power BI","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/22f4377b0f33059ef7ff4118145257e6.png","MiTek Việt Nam","https://glints.com/vn/companies/mitek-viet-nam/f85e1b9d-d910-4601-8fbc-55e1077250f3","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","24 ngày trước","Không công khai"
"Software Engineer - Back End","https://glints.com/vn/opportunities/jobs/software-engineer-back-end/763c1998-985b-4525-8f8f-317bc93a53c4?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Thực Tập","Tối thiểu Cử Nhân","Flask","django","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/e5f3c7b1ad9488d8b18f142920348bb6.jpg","Edtronaut","https://glints.com/vn/companies/edtronaut/41541ce6-616c-4eea-8978-fd7eec33712f","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","17 ngày trước","Không công khai"
"Leader vận hành sàn Tik Tok","https://glints.com/vn/opportunities/jobs/leader-van-hanh-san-tik-tok/e478f679-6b29-4fd1-bd43-0d1dc31bf2ee?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 20-35 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","Customer Service","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/f6d031984ddfc6280a533337c866e976.png","Công ty TNHH Nemi Ads Agency","https://glints.com/vn/companies/cong-ty-tnhh-nemi-ads-agency/c40b178d-7de6-411b-a07d-ede86348e063","Quận Đống Đa","https://glints.com/vn/job-location/vietnam/ha-noi/quan-dong-da","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","9 ngày trước",""
"Nhân viên/ Chuyên viên Phân tích Nghiệp vụ","https://glints.com/vn/opportunities/jobs/nhan-vien-chuyen-vien-phan-tich-nghiep-vu/d3f2be9f-6a57-49aa-a7e2-5792ee00892d?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Leadership","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/02227ced40baf7f2d2530137832c408e.jpg","Công Ty Chứng Khoán Acb","https://glints.com/vn/companies/cong-ty-chung-khoan-acb/a3af683d-1433-424e-b60a-8df144124545","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","9 ngày trước","Không công khai"
"Leader vận hành sàn Tik Tok","https://glints.com/vn/opportunities/jobs/leader-van-hanh-san-tik-tok/fd988932-9d4c-474f-b58e-13ea33fb84d8?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 20-35 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","E-Commerce Operations","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/c68986335b11ca9c6dfd250d3dc86447.jpg","Công ty Cổ phần NEMI","https://glints.com/vn/companies/cong-ty-co-phan-nemi/1e5ef268-3a36-47c5-9faf-65fadffecab0","Quận Đống Đa","https://glints.com/vn/job-location/vietnam/ha-noi/quan-dong-da","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","9 ngày trước",""
"Design Lead (UI/UX)","https://glints.com/vn/opportunities/jobs/design-lead-ui-ux/ed3cc8fc-20fa-4836-8c51-8bc0bd3deb48?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 30-35 Tr","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","Leadership","+7","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/efb84d31b3c03bad04c70810e5e439a9.png","Golden Owl Consulting","https://glints.com/vn/companies/golden-owl-consulting/89f72995-3bd2-46d8-9ac9-34d0ee09e94a","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","5 ngày trước",""
"Software Engineer Intern","https://glints.com/vn/opportunities/jobs/software-engineer-intern/d362a983-0971-402b-b62d-e7a4bdfc4ced?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 1-3 Tr","Thực Tập","Tối thiểu Bằng Liên Kết","","","","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/9b23b1148417312bba4bc01b4c92b292.png","Công ty Cổ phần Thương mại Điện tử Aloha","https://glints.com/vn/companies/cong-ty-co-phan-thuong-mai-dien-tu-aloha/88c0fbbf-1b26-4778-a932-3619e16d828b","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","5 ngày trước",""
"Senior Graphic Designer","https://glints.com/vn/opportunities/jobs/senior-graphic-designer/9ba7577f-9919-4f75-b491-f200c59f2043?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Packaging Design","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/2ac1194d8080445d62fc18cd06ef338a.png","Marou Chocolate","https://glints.com/vn/companies/marou-chocolate/21c60f11-5a34-42c5-b28c-79ac46a521ab","Quận Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","5 ngày trước","Không công khai"
