"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","TypographyStyles__StyledTypography-sc-ro16eu-0","CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-28"
"Business Development (Sale B2B)","https://glints.com/vn/opportunities/jobs/business-development-sale-b2b/56beac74-abc0-49b1-b26d-19c740284282?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 8-12 Tr","Việc làm fulltime","Tối thiểu Cao Đẳng","Business Negotiation","Business Development","+1","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/57dd0a3fdfc75ad50b3cb4fe2e9e9a30.png","DayOne Technologies","https://glints.com/vn/companies/dayone-technologies/14b56fa5-4741-4ce2-9673-1b2ad1ae77fc","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","16 ngày trước",""
"Cyber Security Consultant/Pre-Sales","https://glints.com/vn/opportunities/jobs/cyber-security-consultant-pre-sales/ab800eed-41c6-4e65-a822-45b0b93b9ea0?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","IT Security","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/18612f67117955646f4cec60ba94feb4.png","FPT Telecom International","https://glints.com/vn/companies/fpt-telecom-international/20a1ceb0-3c60-4d24-8cce-c9a9091a545a","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","25 ngày trước","Không công khai"
"Data Analyst","https://glints.com/vn/opportunities/jobs/data-analyst/592b7722-8323-4638-a610-d3c1cfc0d4a0?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 20-30 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Python","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/4ea0c5265faab6dc0e68ec3f43f8d001.jpeg","Viettel Cyber Security","https://glints.com/vn/companies/viettel-cyber-security/7d4ed919-9af9-44a8-8645-86fc53d048fd","Quận Nam Từ Liêm","https://glints.com/vn/job-location/vietnam/ha-noi/quan-nam-tu-liem","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","1 tháng trước",""
"Human Resource","https://glints.com/vn/opportunities/jobs/human-resource/97357e3d-7a66-4999-a087-ebe589e6ebe9?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 10-15 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Administration","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/4767758a750e75e270812cc607c7bb20.jpg","GO BEYOND","https://glints.com/vn/companies/go-beyond/170cee7a-58a4-4019-819e-7ed50efc22ee","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","Hôm qua",""
"Senior Business Development Consultant","https://glints.com/vn/opportunities/jobs/senior-business-development-consultant/b63da8a8-57cf-40ff-a7a4-867b8d8c20d4?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 10-40 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Business Development","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/c623016ec895dbe2f4014bfc609fdc6c.jpg","Base.vn","https://glints.com/vn/companies/basevn/b4952b3e-6d4f-44b4-8014-73b798461541","Quận Mười","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","24 ngày trước",""
"Automation Tester (Devops, Selenium)","https://glints.com/vn/opportunities/jobs/automation-tester-devops-selenium/f88569fe-7e14-4ab7-9f66-85c436cf4800?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","Robot Framework","+9","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/4af68f301940b42ba27c88c79f59161d.jpg","Công ty TNHH MiTek Việt Nam","https://glints.com/vn/companies/cong-ty-tnhh-mitek-viet-nam/d229f567-c2da-40a1-9bf7-60b8a7c5015f","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","27 ngày trước","Không công khai"
"Chương trình TTS Quản trị Tài năng 2026 (Management Trainee)","https://glints.com/vn/opportunities/jobs/chuong-trinh-tts-quan-tri-tai-nang-2026-management-trainee/aab0c575-41f3-442a-8497-1b81ef2ba2c5?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 5-10 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","IT Project Management","Business Development","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/833a8ff1ec35ccc55639dd101136a115.png","Công ty Cổ phần Công nghệ UpBase","https://glints.com/vn/companies/cong-ty-co-phan-cong-nghe-upbase/aa540e82-0537-474a-a7d3-b4f64a908f43","Quận Thanh Xuân","https://glints.com/vn/job-location/vietnam/ha-noi/quan-thanh-xuan","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","17 ngày trước",""
"Product Marketing (Bangkok based)","https://glints.com/vn/opportunities/jobs/product-marketing-bangkok-based/65b32179-cd8b-40ba-8f6a-688b80fb3378?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 35-55 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Trung Học Phổ Thông","Market Research","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","30 ngày trước",""
"Technical Quality Manual  (Bangkok based)","https://glints.com/vn/opportunities/jobs/technical-quality-manual-bangkok-based/c17eb0d5-4462-4524-9209-b866638893a5?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 30-35 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Software Testing","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","30 ngày trước",""
"Test Engineer","https://glints.com/vn/opportunities/jobs/test-engineer/2ea2bb42-a635-42b1-85cc-ecf4e3a3552f?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 30-35 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Automation Testing","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/d9357a2f4bd296b252ff8742309a8efc.png","CÔNG TY CỔ PHẦN THỰC PHẨM HỮU NGHỊ","https://glints.com/vn/companies/cong-ty-co-phan-thuc-pham-huu-nghi/a0cc7feb-325d-4428-a85e-4ef346d428a1","Quận Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","30 ngày trước",""
"Business Analyst (Fresher/Junior)","https://glints.com/vn/opportunities/jobs/business-analyst-fresher-junior/b12b08df-edb2-4dd0-b4d1-f26a2efe7684?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","","Việc làm fulltime","Tối thiểu Cử Nhân","Business Analysis","Teamwork","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/7fdbd1e0cc4078457146b8f946909400.jpeg","CÔNG TY TNHH MLTECH SOFT","https://glints.com/vn/companies/cong-ty-tnhh-mltech-soft/cb90f9c7-ebd0-4289-a46c-d6586a162c5c","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","23 ngày trước","Không công khai"
"Tuyển dụng Tester","https://glints.com/vn/opportunities/jobs/tuyen-dung-tester/5c0a70f9-0ec6-4ba4-a7fb-b51cf4a65de2?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 7-10 Tr","Việc làm fulltime","Tối thiểu Cao Đẳng","Software Testing","Strong Communication Skills","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/77aa3a89ec61e8d6fe6735718ed153e5.jpg","Công ty TNHH Giải pháp phần mềm Doanh nghiệp 5S","https://glints.com/vn/companies/cong-ty-tnhh-giai-phap-phan-mem-doanh-nghiep-5s/704f1928-b3c4-47f8-9be5-e9ced9e8d793","Quận Bình Thạnh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-binh-thanh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","27 ngày trước",""
"Thực Tập Sinh Công Nghệ Thông Tin (Full time)","https://glints.com/vn/opportunities/jobs/thuc-tap-sinh-cong-nghe-thong-tin-full-time/b8dc1de8-e5fc-458e-b1dc-b59f21efdf1a?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 4-15 Tr","Việc làm fulltime","Tối thiểu Trung Học Phổ Thông","Big Data Architecture","Software Development","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a03be43b8a555c5ab59c3e5541718f50.png","Công Nghệ Phần Mềm Nasani","https://glints.com/vn/companies/cong-nghe-phan-mem-nasani/62d4fbd1-c95e-4fb4-9938-fd748457efbd","Quận Mười Hai","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi-hai","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","9 ngày trước",""
"Business Analyst (BA)","https://glints.com/vn/opportunities/jobs/business-analyst-ba/114ed95a-45b8-46e4-bfde-50bef871a869?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","₫ 10-20 Tr","Việc làm fulltime","3 – 5 năm","Tối thiểu Cao Đẳng","Business Process Improvement","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/611466313c6db7a66759dd35aee5bfa3.jpg","CÔNG TY TNHH TMT SEN VÀNG VIỆT NAM","https://glints.com/vn/companies/cong-ty-tnhh-tmt-sen-vang-viet-nam/a957468d-b609-40f8-bb52-a2856331116a","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","12 ngày trước",""
"Admin Assistant Intern","https://glints.com/vn/opportunities/jobs/admin-assistant-intern/2fe45429-aa95-46ee-9476-a33db3d7eac7?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","","Việc làm fulltime","Tối thiểu Bằng Liên Kết","Google Sheets","Data Entry","+8","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/e18af181973a5c333e342f25a6e43f74.png","Kobi Lighting Studio","https://glints.com/vn/companies/kobi-lighting-studio/c2b5aed2-ab1e-4438-8455-4372f37e26a2","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","17 ngày trước","Không công khai"
"ACCOUNT MANAGER","https://glints.com/vn/opportunities/jobs/account-manager/9716711f-638e-4122-bbc5-8c45c7f26a47?utm_referrer=explore&traceInfo=6a5de7555806faf457d03d13832b4b5f","","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","Business Planning","+24","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/dcb764f2832e7b10797e7edf767f620b.jpg","WEALLNET","https://glints.com/vn/companies/weallnet/bff83e64-d4e5-483e-82bf-d8051e741308","Quận Một","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-mot","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","Hôm qua","Không công khai"
