"text-decoration-none href","rounded src","job-title","text-muted","mt-1","mt-1 2","badge","badge 2","badge 3"
"https://jobsgo.vn/viec-lam/truong-nhom-kinh-doanh-phan-mem-26620977708.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/299902-200x200.jpg?v=1746496016","Trưởng nhóm Kinh doanh Phần mềm","Chi Nhánh Công Ty Cổ Phần Tư Vấn Quản Trị Doanh Nghiệp Tinh Vân Tại Thành phố Hồ Chí Minh","Thỏa thuận","Hồ Chí Minh","Full-time","3 - 5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/refrigeration-system-design-engineer-tieng-anh-phu-nhuan-hcm-26623842877.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Refrigeration System Design Engineer - Tiếng Anh - Phú Nhuận, HCM","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","20 - 30 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 3 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-ky-thuat-tieng-nhat-tu-20-trieu-tro-len-hcm-26626164886.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/6540-200x200.jpg?v=1733132892","Nhân Viên Kinh Doanh Kỹ Thuật (Tiếng Nhật) - Từ 20 Triệu Trở Lên - HCM","Công Ty Cổ Phần Kết Nối Nhân Lực Worklink Việt Nam","20 - 32 triệu VNĐ","Hồ Chí Minh","Full-time","3 - 5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin-fulltime-co-ho-tro-luong-moc-thuc-tap-dao-tao-26631202695.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/482735-200x200.jpg?v=1776065485","Thực Tập Sinh Công Nghệ Thông Tin (Fulltime) Có Hỗ Trợ Lương + Mộc Thực Tập + Đào Tạo","Công Ty TNHH Công Nghệ Phần Mềm Nasani","Đến 10 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-tu-van-phan-mem-marketing-26634271549.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/482735-200x200.jpg?v=1776065485","Nhân Viên Tư Vấn Phần Mềm Marketing","Công Ty TNHH Công Nghệ Phần Mềm Nasani","Đến 20 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 5 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-software-sales-executive-26635751660.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/154024-200x200.jpg?v=1762244664","Nhân Viên Kinh Doanh Phần Mềm (Software Sales Executive)","Công Ty TNHH Bảo Hiểm Shinhan Life Việt Nam","Từ 15 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/backend-developer-26644401483.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/31470-200x200.jpg?v=1597136079","Backend Developer","Công ty TNHH OKXE Việt Nam","15 - 23 triệu VNĐ","Hồ Chí Minh","Full-time","3 - 4 năm","7 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-26647062967.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/485198-200x200.jpg?v=1776919421","Nhân Viên Kinh Doanh","Công Ty Cổ Phần Xuất Nhập Khẩu Bảo Hà","Thỏa thuận","Hồ Chí Minh, Hà Nội","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/giam-sat-vien-quan-ly-du-an-26647538232.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1827-200x200.jpg?v=1487578145","Giám Sát Viên Quản Lý Dự Án","Công ty TNHH MTV CIMIGO","7 - 9 triệu VNĐ","Hồ Chí Minh, Hà Nội","Full-time","Không yêu cầu","7 phút trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-ho-tro-nguoi-dung-sap-b1-helpdesk-26648706026.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/7166-200x200.jpg?v=1776831644","Chuyên Viên Hỗ Trợ Người Dùng Sap B1 (Helpdesk)","Công ty CP Hòa Bình","Thỏa thuận","Hồ Chí Minh","Full-time","1 - 3 năm","7 phút trước"
